"x.1","x.2","classes"
0.352872650605232,-0.00621955785692694,"1"
-0.997920955233894,0.149171609726524,"2"
0.386846084306366,-0.0164915994284153,"1"
0.35644495696873,-0.00636469430937872,"1"
0.2796857006531,0.0182165912961494,"1"
0.65387316046816,0.244814905494932,"2"
0.310597758318122,0.00894319356237344,"1"
-0.899996737132458,0.172981711085854,"2"
-0.190176471201012,-0.37179173284559,"2"
0.365925104040121,-0.00782487400839242,"1"
0.626267821425691,-0.176500740680891,"2"
0.32056477153023,0.00671265769049787,"1"
0.336802159355561,0.00215600907353729,"1"
0.360719127930639,-0.00470408188766408,"1"
-0.444388752915696,0.774453428513962,"2"
0.368041895479364,-0.00643534178573953,"1"
0.277498679974924,0.0215345502100417,"1"
0.460158226318671,-0.309257274214629,"2"
0.714876069799956,0.0208429927638907,"2"
0.274235697186219,0.0228946037135477,"1"
0.660701192193281,0.327856028361667,"2"
0.31449259769639,0.0111768705500159,"1"
-0.311315178628463,-0.421689483156751,"2"
0.385985270044363,-0.00975330565626655,"1"
0.281866731693375,0.0217366997897816,"1"
0.447751295893021,-0.0269498082606246,"1"
0.347435501541644,0.00320206052255596,"1"
-1.06453000815625,0.103728097650505,"2"
0.314550249334487,0.0133100998153482,"1"
-0.632703133319232,0.614299129502699,"2"
-0.075841249636603,0.740373054800741,"2"
0.334136700804221,0.00803358525455396,"1"
0.328944332858569,0.00999706064958626,"1"
-0.818080637246606,0.463975917910911,"2"
-0.314828441277207,0.746153975843733,"2"
0.396525075044326,-0.0090396883811409,"1"
0.27811586568727,0.0254793701241395,"1"
0.131321869033847,0.750331061492121,"2"
0.285475464358911,-0.452791214542318,"2"
0.431705268052064,-0.0179786423985022,"1"
0.409423829018781,-0.0110504801407439,"1"
0.376922386554566,-0.00130217051458841,"1"
-0.14643186772773,0.828194450114045,"2"
0.265714749345526,-0.484542933114031,"2"
0.31773395993231,0.0158474163501839,"1"
0.304766714549931,0.0199043242412785,"1"
0.325343543776832,0.0145976832242043,"1"
-0.84088956818732,0.506672308764685,"2"
0.285158785360971,0.0261534004269932,"1"
0.666699502718871,-0.0695779641449636,"2"
-0.453154397847225,-0.0662329028230049,"2"
